Year,State,Stratification,Medicaid_Spending,Median_Income
2021,Alabama,Male,11573.333333333314,56340.66666666651
2021,Alabama,"Black, non-Hispanic",11573.333333333314,56340.66666666651
2021,Alabama,Female,11573.333333333314,56340.66666666651
2021,Alabama,"White, non-Hispanic",11573.333333333314,56340.66666666651
2021,Alabama,Overall,11573.333333333314,56340.66666666651
2021,Alabama,American Indian or Alaska Native,11573.333333333314,56340.66666666651
2021,Alabama,Hispanic,11573.333333333314,56340.66666666651
2021,Alabama,Asian or Pacific Islander,11573.333333333314,56340.66666666651
2022,Alabama,Male,11836.357575757604,57977.51515151514
2022,Alabama,"Black, non-Hispanic",11836.357575757604,57977.51515151514
2022,Alabama,Female,11836.357575757604,57977.51515151514
2022,Alabama,"White, non-Hispanic",11836.357575757604,57977.51515151514
2022,Alabama,Overall,11836.357575757604,57977.51515151514
2022,Alabama,American Indian or Alaska Native,11836.357575757604,57977.51515151514
2022,Alabama,Hispanic,11836.357575757604,57977.51515151514
2022,Alabama,Asian or Pacific Islander,11836.357575757604,57977.51515151514
2023,Alabama,Male,12099.381818181777,59614.36363636376
2023,Alabama,"Black, non-Hispanic",12099.381818181777,59614.36363636376
2023,Alabama,Female,12099.381818181777,59614.36363636376
2023,Alabama,"White, non-Hispanic",12099.381818181777,59614.36363636376
2023,Alabama,Overall,12099.381818181777,59614.36363636376
2023,Alabama,American Indian or Alaska Native,12099.381818181777,59614.36363636376
2023,Alabama,Hispanic,12099.381818181777,59614.36363636376
2023,Alabama,Asian or Pacific Islander,12099.381818181777,59614.36363636376
2024,Alabama,Male,12362.406060606067,61251.212121211924
2024,Alabama,"Black, non-Hispanic",12362.406060606067,61251.212121211924
2024,Alabama,Female,12362.406060606067,61251.212121211924
2024,Alabama,"White, non-Hispanic",12362.406060606067,61251.212121211924
2024,Alabama,Overall,12362.406060606067,61251.212121211924
2024,Alabama,American Indian or Alaska Native,12362.406060606067,61251.212121211924
2024,Alabama,Hispanic,12362.406060606067,61251.212121211924
2024,Alabama,Asian or Pacific Islander,12362.406060606067,61251.212121211924
2025,Alabama,Male,12625.43030303024,62888.06060606055
2025,Alabama,"Black, non-Hispanic",12625.43030303024,62888.06060606055
2025,Alabama,Female,12625.43030303024,62888.06060606055
2025,Alabama,"White, non-Hispanic",12625.43030303024,62888.06060606055
2025,Alabama,Overall,12625.43030303024,62888.06060606055
2025,Alabama,American Indian or Alaska Native,12625.43030303024,62888.06060606055
2025,Alabama,Hispanic,12625.43030303024,62888.06060606055
2025,Alabama,Asian or Pacific Islander,12625.43030303024,62888.06060606055
2026,Alabama,Male,12888.45454545453,64524.909090909176
2026,Alabama,"Black, non-Hispanic",12888.45454545453,64524.909090909176
2026,Alabama,Female,12888.45454545453,64524.909090909176
2026,Alabama,"White, non-Hispanic",12888.45454545453,64524.909090909176
2026,Alabama,Overall,12888.45454545453,64524.909090909176
2026,Alabama,American Indian or Alaska Native,12888.45454545453,64524.909090909176
2026,Alabama,Hispanic,12888.45454545453,64524.909090909176
2026,Alabama,Asian or Pacific Islander,12888.45454545453,64524.909090909176
2027,Alabama,Male,13151.47878787882,66161.75757575734
2027,Alabama,"Black, non-Hispanic",13151.47878787882,66161.75757575734
2027,Alabama,Female,13151.47878787882,66161.75757575734
2027,Alabama,"White, non-Hispanic",13151.47878787882,66161.75757575734
2027,Alabama,Overall,13151.47878787882,66161.75757575734
2027,Alabama,American Indian or Alaska Native,13151.47878787882,66161.75757575734
2027,Alabama,Hispanic,13151.47878787882,66161.75757575734
2027,Alabama,Asian or Pacific Islander,13151.47878787882,66161.75757575734
