Year,State,Stratification,Medicaid_Spending,Median_Income,Mortality
2021,Alaska,Male,11573.333333333314,56340.66666666651,2900.02
2021,Alaska,"Black, non-Hispanic",11573.333333333314,56340.66666666651,336.03
2021,Alaska,Female,11573.333333333314,56340.66666666651,2684.13
2021,Alaska,"White, non-Hispanic",11573.333333333314,56340.66666666651,4858.25
2021,Alaska,Overall,11573.333333333314,56340.66666666651,5614.44
2021,Alaska,Asian or Pacific Islander,11573.333333333314,56340.66666666651,42.9
2021,Alaska,Hispanic,11573.333333333314,56340.66666666651,29.59
2021,Alaska,Asian or Pacific Islander,11573.333333333314,56340.66666666651,39.2
2022,Alaska,Male,11836.357575757604,57977.51515151514,2856.21
2022,Alaska,"Black, non-Hispanic",11836.357575757604,57977.51515151514,215.12
2022,Alaska,Female,11836.357575757604,57977.51515151514,2628.42
2022,Alaska,"White, non-Hispanic",11836.357575757604,57977.51515151514,4830.57
2022,Alaska,Overall,11836.357575757604,57977.51515151514,5566.58
2022,Alaska,Asian or Pacific Islander,11836.357575757604,57977.51515151514,48.13
2022,Alaska,Hispanic,11836.357575757604,57977.51515151514,30.95
2022,Alaska,Asian or Pacific Islander,11836.357575757604,57977.51515151514,39.98
2023,Alaska,Male,12099.381818181777,59614.36363636376,2847.82
2023,Alaska,"Black, non-Hispanic",12099.381818181777,59614.36363636376,183.84
2023,Alaska,Female,12099.381818181777,59614.36363636376,2612.6
2023,Alaska,"White, non-Hispanic",12099.381818181777,59614.36363636376,4783.4
2023,Alaska,Overall,12099.381818181777,59614.36363636376,5543.62
2023,Alaska,Asian or Pacific Islander,12099.381818181777,59614.36363636376,48.18
2023,Alaska,Hispanic,12099.381818181777,59614.36363636376,32.06
2023,Alaska,Asian or Pacific Islander,12099.381818181777,59614.36363636376,39.75
2024,Alaska,Male,12362.406060606068,61251.21212121192,2862.14
2024,Alaska,"Black, non-Hispanic",12362.406060606068,61251.21212121192,171.0
2024,Alaska,Female,12362.406060606068,61251.21212121192,2609.05
2024,Alaska,"White, non-Hispanic",12362.406060606068,61251.21212121192,4757.35
2024,Alaska,Overall,12362.406060606068,61251.21212121192,5532.74
2024,Alaska,Asian or Pacific Islander,12362.406060606068,61251.21212121192,47.72
2024,Alaska,Hispanic,12362.406060606068,61251.21212121192,32.28
2024,Alaska,Asian or Pacific Islander,12362.406060606068,61251.21212121192,40.21
2025,Alaska,Male,12625.43030303024,62888.06060606055,2836.74
2025,Alaska,"Black, non-Hispanic",12625.43030303024,62888.06060606055,162.01
2025,Alaska,Female,12625.43030303024,62888.06060606055,2601.44
2025,Alaska,"White, non-Hispanic",12625.43030303024,62888.06060606055,4756.83
2025,Alaska,Overall,12625.43030303024,62888.06060606055,5520.3
2025,Alaska,Asian or Pacific Islander,12625.43030303024,62888.06060606055,47.96
2025,Alaska,Hispanic,12625.43030303024,62888.06060606055,32.38
2025,Alaska,Asian or Pacific Islander,12625.43030303024,62888.06060606055,40.04
2026,Alaska,Male,12888.45454545453,64524.909090909176,2833.25
2026,Alaska,"Black, non-Hispanic",12888.45454545453,64524.909090909176,161.52
2026,Alaska,Female,12888.45454545453,64524.909090909176,2572.61
2026,Alaska,"White, non-Hispanic",12888.45454545453,64524.909090909176,4722.56
2026,Alaska,Overall,12888.45454545453,64524.909090909176,5515.3
2026,Alaska,Asian or Pacific Islander,12888.45454545453,64524.909090909176,48.31
2026,Alaska,Hispanic,12888.45454545453,64524.909090909176,31.75
2026,Alaska,Asian or Pacific Islander,12888.45454545453,64524.909090909176,39.92
2027,Alaska,Male,13151.47878787882,66161.75757575734,2821.46
2027,Alaska,"Black, non-Hispanic",13151.47878787882,66161.75757575734,160.39
2027,Alaska,Female,13151.47878787882,66161.75757575734,2570.86
2027,Alaska,"White, non-Hispanic",13151.47878787882,66161.75757575734,4699.94
2027,Alaska,Overall,13151.47878787882,66161.75757575734,5534.98
2027,Alaska,Asian or Pacific Islander,13151.47878787882,66161.75757575734,49.37
2027,Alaska,Hispanic,13151.47878787882,66161.75757575734,31.14
2027,Alaska,Asian or Pacific Islander,13151.47878787882,66161.75757575734,39.93
2028,Alaska,Male,13414.503030302993,67798.60606060596,2809.19
2028,Alaska,"Black, non-Hispanic",13414.503030302993,67798.60606060596,156.55
2028,Alaska,Female,13414.503030302993,67798.60606060596,2580.82
2028,Alaska,"White, non-Hispanic",13414.503030302993,67798.60606060596,4615.1
2028,Alaska,Overall,13414.503030302993,67798.60606060596,5518.5
2028,Alaska,Asian or Pacific Islander,13414.503030302993,67798.60606060596,49.81
2028,Alaska,Hispanic,13414.503030302993,67798.60606060596,30.51
2028,Alaska,Asian or Pacific Islander,13414.503030302993,67798.60606060596,40.6
2029,Alaska,Male,13677.527272727282,69435.45454545459,2801.95
2029,Alaska,"Black, non-Hispanic",13677.527272727282,69435.45454545459,157.37
2029,Alaska,Female,13677.527272727282,69435.45454545459,2578.16
2029,Alaska,"White, non-Hispanic",13677.527272727282,69435.45454545459,4542.23
2029,Alaska,Overall,13677.527272727282,69435.45454545459,5406.8
2029,Alaska,Asian or Pacific Islander,13677.527272727282,69435.45454545459,50.11
2029,Alaska,Hispanic,13677.527272727282,69435.45454545459,31.29
2029,Alaska,Asian or Pacific Islander,13677.527272727282,69435.45454545459,40.78
2030,Alaska,Male,13940.551515151456,71072.30303030275,2756.76
2030,Alaska,"Black, non-Hispanic",13940.551515151456,71072.30303030275,159.36
2030,Alaska,Female,13940.551515151456,71072.30303030275,2506.71
2030,Alaska,"White, non-Hispanic",13940.551515151456,71072.30303030275,4447.93
2030,Alaska,Overall,13940.551515151456,71072.30303030275,5284.54
2030,Alaska,Asian or Pacific Islander,13940.551515151456,71072.30303030275,50.36
2030,Alaska,Hispanic,13940.551515151456,71072.30303030275,31.01
2030,Alaska,Asian or Pacific Islander,13940.551515151456,71072.30303030275,41.57
2031,Alaska,Male,14203.575757575743,72709.15151515137,2788.09
2031,Alaska,"Black, non-Hispanic",14203.575757575743,72709.15151515137,151.82
2031,Alaska,Female,14203.575757575743,72709.15151515137,2535.62
2031,Alaska,"White, non-Hispanic",14203.575757575743,72709.15151515137,4575.52
2031,Alaska,Overall,14203.575757575743,72709.15151515137,5309.29
2031,Alaska,Asian or Pacific Islander,14203.575757575743,72709.15151515137,51.16
2031,Alaska,Hispanic,14203.575757575743,72709.15151515137,32.05
2031,Alaska,Asian or Pacific Islander,14203.575757575743,72709.15151515137,42.24
2032,Alaska,Male,14466.59999999992,74346.0,2795.24
2032,Alaska,"Black, non-Hispanic",14466.59999999992,74346.0,156.75
2032,Alaska,Female,14466.59999999992,74346.0,2557.38
2032,Alaska,"White, non-Hispanic",14466.59999999992,74346.0,4605.47
2032,Alaska,Overall,14466.59999999992,74346.0,5330.36
2032,Alaska,Asian or Pacific Islander,14466.59999999992,74346.0,53.07
2032,Alaska,Hispanic,14466.59999999992,74346.0,36.08
2032,Alaska,Asian or Pacific Islander,14466.59999999992,74346.0,45.65
2033,Alaska,Male,14729.624242424208,75982.84848484863,2824.1
2033,Alaska,"Black, non-Hispanic",14729.624242424208,75982.84848484863,162.89
2033,Alaska,Female,14729.624242424208,75982.84848484863,2589.21
2033,Alaska,"White, non-Hispanic",14729.624242424208,75982.84848484863,4614.2
2033,Alaska,Overall,14729.624242424208,75982.84848484863,5387.33
2033,Alaska,Asian or Pacific Islander,14729.624242424208,75982.84848484863,53.57
2033,Alaska,Hispanic,14729.624242424208,75982.84848484863,37.29
2033,Alaska,Asian or Pacific Islander,14729.624242424208,75982.84848484863,46.77
2034,Alaska,Male,14992.648484848498,77619.69696969679,2865.57
2034,Alaska,"Black, non-Hispanic",14992.648484848498,77619.69696969679,177.63
2034,Alaska,Female,14992.648484848498,77619.69696969679,2610.11
2034,Alaska,"White, non-Hispanic",14992.648484848498,77619.69696969679,4673.76
2034,Alaska,Overall,14992.648484848498,77619.69696969679,5454.77
2034,Alaska,Asian or Pacific Islander,14992.648484848498,77619.69696969679,54.14
2034,Alaska,Hispanic,14992.648484848498,77619.69696969679,38.62
