Year,State,Stratification,Medicaid_Spending,Median_Income
2021,Alabama,Male,11556.234647112782,56269.95417048596
2021,Alabama,"Black, non-Hispanic",11556.234647112782,56269.95417048596
2021,Alabama,Female,11556.234647112782,56269.95417048596
2021,Alabama,"White, non-Hispanic",11556.234647112782,56269.95417048596
2021,Alabama,Overall,11556.234647112782,56269.95417048596
2021,Alabama,American Indian or Alaska Native,11556.234647112782,56269.95417048596
2021,Alabama,Hispanic,11556.234647112782,56269.95417048596
2021,Alabama,Asian or Pacific Islander,11556.234647112782,56269.95417048596
2022,Alabama,Male,11820.231897341902,57817.25939505035
2022,Alabama,"Black, non-Hispanic",11820.231897341902,57817.25939505035
2022,Alabama,Female,11820.231897341902,57817.25939505035
2022,Alabama,"White, non-Hispanic",11820.231897341902,57817.25939505035
2022,Alabama,Overall,11820.231897341902,57817.25939505035
2022,Alabama,American Indian or Alaska Native,11820.231897341902,57817.25939505035
2022,Alabama,Hispanic,11820.231897341902,57817.25939505035
2022,Alabama,Asian or Pacific Islander,11820.231897341902,57817.25939505035
2023,Alabama,Male,12084.229147571024,59364.56461961521
2023,Alabama,"Black, non-Hispanic",12084.229147571024,59364.56461961521
2023,Alabama,Female,12084.229147571024,59364.56461961521
2023,Alabama,"White, non-Hispanic",12084.229147571024,59364.56461961521
2023,Alabama,Overall,12084.229147571024,59364.56461961521
2023,Alabama,American Indian or Alaska Native,12084.229147571024,59364.56461961521
2023,Alabama,Hispanic,12084.229147571024,59364.56461961521
2023,Alabama,Asian or Pacific Islander,12084.229147571024,59364.56461961521
2024,Alabama,Male,12348.226397800145,60911.8698441796
2024,Alabama,"Black, non-Hispanic",12348.226397800145,60911.8698441796
2024,Alabama,Female,12348.226397800145,60911.8698441796
2024,Alabama,"White, non-Hispanic",12348.226397800145,60911.8698441796
2024,Alabama,Overall,12348.226397800145,60911.8698441796
2024,Alabama,American Indian or Alaska Native,12348.226397800145,60911.8698441796
2024,Alabama,Hispanic,12348.226397800145,60911.8698441796
