State,Year,Medicaid_Spending,Median_Income
Alabama,2021,11556.234647112782,56269.95417048596
Alabama,2022,11820.231897341902,57817.25939505035
Alabama,2023,12084.229147571023,59364.56461961521
Alabama,2024,12348.226397800143,60911.8698441796
Alabama,2025,12612.22364802938,62459.17506874446
Alabama,2026,12876.2208982585,64006.48029330885
Alabama,2027,13140.21814848762,65553.78551787371
Alabama,2028,13404.21539871674,67101.0907424381
Alabama,2029,13668.212648945977,68648.39596700296
Alabama,2030,13932.209899175097,70195.70119156735
Alabama,2031,14196.207149404217,71743.00641613221
Alabama,2032,14460.204399633338,73290.3116406966
Alabama,2033,14724.201649862458,74837.61686526146
Alabama,2034,14988.198900091695,76384.92208982585
Alabama,2035,15252.196150320815,77932.22731439071
Alabama,2036,15516.193400549935,79479.5325389551
Alabama,2037,15780.190650779055,81026.83776351996
Alabama,2038,16044.187901008292,82574.14298808435
Alabama,2039,16308.185151237412,84121.44821264921
Alabama,2040,16572.182401466533,85668.7534372136
Alabama,2041,16836.179651695653,87216.05866177846
Alabama,2042,17100.17690192489,88763.36388634285
Alabama,2043,17364.17415215401,90310.66911090771
Alabama,2044,17628.17140238313,91857.9743354721
Alabama,2045,17892.16865261225,93405.27956003696
Alabama,2046,18156.165902841487,94952.58478460135
Alabama,2047,18420.163153070607,96499.8900091662
Alabama,2048,18684.160403299727,98047.1952337306
Alabama,2049,18948.157653528848,99594.50045829499
Alabama,2050,19212.154903757968,101141.80568285985
Alaska,2021,4573.096241979802,80382.67644362943
Alaska,2022,4803.755270394089,82164.0513290558
Alaska,2023,5034.414298808377,83945.4262144817
Alaska,2024,5265.073327222664,85726.80109990807
Alaska,2025,5495.73235563701,87508.17598533444
Alaska,2026,5726.391384051298,89289.55087076034
Alaska,2027,5957.050412465585,91070.92575618671
Alaska,2028,6187.709440879873,92852.30064161308
Alaska,2029,6418.368469294161,94633.67552703898
Alaska,2030,6649.027497708506,96415.05041246535
Alaska,2031,6879.686526122794,98196.42529789172
Alaska,2032,7110.345554537082,99977.80018331762
Alaska,2033,7341.004582951369,101759.17506874399
Alaska,2034,7571.663611365657,103540.54995417036
Alaska,2035,7802.322639779944,105321.92483959626
Alaska,2036,8032.98166819429,107103.29972502263
Alaska,2037,8263.640696608578,108884.674610449
Alaska,2038,8494.299725022865,110666.0494958749
Alaska,2039,8724.958753437153,112447.42438130127
