Year,State,Prevalence,Stratification
2018,Rhode Island,6.0,Male
2021,Alabama,10.1,Female
2011,Virginia,7.4,Female
2017,Louisiana,15.1,"Multiracial, non-Hispanic"
2021,Alabama,8.1,"Black, non-Hispanic"
2012,Wisconsin,4.6,Male
2020,New Jersey,5.8,Female
2016,Kentucky,9.4,Male
2013,Michigan,5.6,"Other, non-Hispanic"
2016,Alabama,10.2,Female
2012,Missouri,8.4,"White, non-Hispanic"
2017,North Carolina,9.4,"White, non-Hispanic"
2011,North Carolina,6.2,"Other, non-Hispanic"
2012,Massachusetts,3.8,Hispanic
2015,Connecticut,4.4,Male
2017,Michigan,16.9,"Multiracial, non-Hispanic"
2011,Rhode Island,6.6,"White, non-Hispanic"
2016,Pennsylvania,7.6,"White, non-Hispanic"
2020,Montana,7.1,Female
2015,Montana,4.5,Male
2011,Utah,3.5,Hispanic
2019,Indiana,7.3,Male
2017,New Jersey,7.2,Female
2015,California,5.9,"Black, non-Hispanic"
2011,Kansas,6.8,"White, non-Hispanic"
2020,North Carolina,6.9,Female
2015,Pennsylvania,6.9,"Black, non-Hispanic"
2011,Wisconsin,5.8,Female
2013,Connecticut,4.5,Male
2016,Virginia,7.2,Female
2013,Oklahoma,10.4,"Multiracial, non-Hispanic"
2015,West Virginia,13.8,"White, non-Hispanic"
2017,Oregon,3.6,Male
2017,Nevada,6.6,Male
2019,Indiana,6.5,"Black, non-Hispanic"
2014,Iowa,5.3,Male
2013,New Jersey,6.4,"White, non-Hispanic"
2013,South Dakota,3.4,"Other, non-Hispanic"
2017,Hawaii,4.0,"White, non-Hispanic"
2016,Virginia,5.1,"Black, non-Hispanic"
2018,Louisiana,9.6,"Black, non-Hispanic"
2020,Hawaii,4.4,"Multiracial, non-Hispanic"
2016,Vermont,5.0,Male
2021,Wisconsin,5.3,"White, non-Hispanic"
2019,Illinois,6.3,Female
2014,Vermont,5.9,Male
2011,New Jersey,4.3,Hispanic
2012,Utah,2.8,Hispanic
2017,New Hampshire,7.7,Female
2016,Michigan,5.3,"Other, non-Hispanic"
2016,Arizona,8.4,"White, non-Hispanic"
2018,South Carolina,7.3,"Black, non-Hispanic"
2015,North Carolina,8.6,"White, non-Hispanic"
2013,Delaware,6.6,"Black, non-Hispanic"
2014,South Carolina,6.0,Male
2017,Idaho,5.2,"White, non-Hispanic"
