Year,State,Mortality,Stratification,Medicaid_Spending
2011,Alabama,2585.0,Male,8852
2011,Alabama,564.0,"Black, non-Hispanic",8852
2011,Alabama,2296.0,Female,8852
2011,Alabama,4296.0,"White, non-Hispanic",8852
2011,Alabama,4881.0,Overall,8852
2012,Alabama,2577.0,Male,9533
2012,Alabama,509.0,"Black, non-Hispanic",9533
2012,Alabama,4876.0,Overall,9533
2012,Alabama,4342.0,"White, non-Hispanic",9533
2012,Alabama,2299.0,Female,9533
2013,Alabama,5112.0,Overall,9340
2013,Alabama,2374.0,Female,9340
2013,Alabama,575.0,"Black, non-Hispanic",9340
2013,Alabama,4511.0,"White, non-Hispanic",9340
2013,Alabama,2738.0,Male,9340
2014,Alabama,2275.0,Female,9979
2014,Alabama,4255.0,"White, non-Hispanic",9979
2014,Alabama,4805.0,Overall,9979
2014,Alabama,2530.0,Male,9979
2014,Alabama,511.0,"Black, non-Hispanic",9979
2015,Alabama,2631.0,Male,10087
2015,Alabama,545.0,"Black, non-Hispanic",10087
2015,Alabama,4959.0,Overall,10087
2015,Alabama,2328.0,Female,10087
2015,Alabama,4388.0,"White, non-Hispanic",10087
2016,Alabama,2678.0,Male,9636
2016,Alabama,2460.0,Female,9636
2016,Alabama,4490.0,"White, non-Hispanic",9636
2016,Alabama,620.0,"Black, non-Hispanic",9636
2016,Alabama,5138.0,Overall,9636
2017,Alabama,5248.0,Overall,10380
2017,Alabama,2508.0,Female,10380
2017,Alabama,4597.0,"White, non-Hispanic",10380
2017,Alabama,620.0,"Black, non-Hispanic",10380
2017,Alabama,2740.0,Male,10380
2018,Alabama,2652.0,Female,10700
2018,Alabama,2805.0,Male,10700
2018,Alabama,4780.0,"White, non-Hispanic",10700
2018,Alabama,5457.0,Overall,10700
2018,Alabama,636.0,"Black, non-Hispanic",10700
2019,Alabama,4720.0,"White, non-Hispanic",11297
2019,Alabama,2807.0,Male,11297
2019,Alabama,678.0,"Black, non-Hispanic",11297
2019,Alabama,5428.0,Overall,11297
2019,Alabama,2621.0,Female,11297
2020,Alabama,2874.0,Female,11463
2020,Alabama,821.0,"Black, non-Hispanic",11463
2020,Alabama,6027.0,Overall,11463
2020,Alabama,5172.0,"White, non-Hispanic",11463
