Year,State,Stratification,Medicaid_Spending,Median_Income,Mortality
2011,Alabama,Male,8852,42590,2585.0
2011,Alabama,"Black, non-Hispanic",8852,42590,564.0
2011,Alabama,Female,8852,42590,2296.0
2011,Alabama,"White, non-Hispanic",8852,42590,4296.0
2011,Alabama,Overall,8852,42590,4881.0
2012,Alabama,Male,9533,43460,2577.0
2012,Alabama,"Black, non-Hispanic",9533,43460,509.0
2012,Alabama,Overall,9533,43460,4876.0
2012,Alabama,"White, non-Hispanic",9533,43460,4342.0
2012,Alabama,Female,9533,43460,2299.0
2013,Alabama,Overall,9340,47320,5112.0
2013,Alabama,Overall,9340,41380,5112.0
2013,Alabama,Female,9340,47320,2374.0
2013,Alabama,Female,9340,41380,2374.0
2013,Alabama,"Black, non-Hispanic",9340,47320,575.0
2013,Alabama,"Black, non-Hispanic",9340,41380,575.0
2013,Alabama,"White, non-Hispanic",9340,47320,4511.0
2013,Alabama,"White, non-Hispanic",9340,41380,4511.0
2013,Alabama,Male,9340,47320,2738.0
2013,Alabama,Male,9340,41380,2738.0
2014,Alabama,Female,9979,42280,2275.0
2014,Alabama,"White, non-Hispanic",9979,42280,4255.0
2014,Alabama,Overall,9979,42280,4805.0
2014,Alabama,Male,9979,42280,2530.0
2014,Alabama,"Black, non-Hispanic",9979,42280,511.0
2015,Alabama,Male,10087,44510,2631.0
2015,Alabama,"Black, non-Hispanic",10087,44510,545.0
2015,Alabama,Overall,10087,44510,4959.0
2015,Alabama,Female,10087,44510,2328.0
2015,Alabama,"White, non-Hispanic",10087,44510,4388.0
2016,Alabama,Male,9636,47220,2678.0
2016,Alabama,Female,9636,47220,2460.0
2016,Alabama,"White, non-Hispanic",9636,47220,4490.0
2016,Alabama,"Black, non-Hispanic",9636,47220,620.0
2016,Alabama,Overall,9636,47220,5138.0
2017,Alabama,Overall,10380,50870,5248.0
2017,Alabama,Overall,10380,51110,5248.0
2017,Alabama,Female,10380,50870,2508.0
2017,Alabama,Female,10380,51110,2508.0
2017,Alabama,"White, non-Hispanic",10380,50870,4597.0
2017,Alabama,"White, non-Hispanic",10380,51110,4597.0
2017,Alabama,"Black, non-Hispanic",10380,50870,620.0
2017,Alabama,"Black, non-Hispanic",10380,51110,620.0
2017,Alabama,Male,10380,50870,2740.0
2017,Alabama,Male,10380,51110,2740.0
2018,Alabama,Female,10700,49940,2652.0
2018,Alabama,Male,10700,49940,2805.0
2018,Alabama,"White, non-Hispanic",10700,49940,4780.0
2018,Alabama,Overall,10700,49940,5457.0
2018,Alabama,"Black, non-Hispanic",10700,49940,636.0
2019,Alabama,"White, non-Hispanic",11297,56200,4720.0
2019,Alabama,Male,11297,56200,2807.0
2019,Alabama,"Black, non-Hispanic",11297,56200,678.0
2019,Alabama,Overall,11297,56200,5428.0
2019,Alabama,Female,11297,56200,2621.0
2020,Alabama,Female,11463,54690,2874.0
2020,Alabama,"Black, non-Hispanic",11463,54690,821.0
2020,Alabama,Overall,11463,54690,6027.0
2020,Alabama,"White, non-Hispanic",11463,54690,5172.0
2020,Alabama,Male,11463,54690,3153.0
2011,Alaska,Overall,2459,57430,400.0
2011,Alaska,American Indian or Alaska Native,2459,57430,92.0
2011,Alaska,Female,2459,57430,193.0
2011,Alaska,Male,2459,57430,207.0
2011,Alaska,"White, non-Hispanic",2459,57430,291.0
2012,Alaska,"White, non-Hispanic",2606,63650,276.0
2012,Alaska,Male,2606,63650,232.0
2012,Alaska,American Indian or Alaska Native,2606,63650,94.0
2012,Alaska,Female,2606,63650,177.0
2012,Alaska,Overall,2606,63650,409.0
2013,Alaska,"White, non-Hispanic",2533,72470,318.0
2013,Alaska,"White, non-Hispanic",2533,61140,318.0
2013,Alaska,Male,2533,72470,220.0
2013,Alaska,Male,2533,61140,220.0
